Alias,LinkTarget,Clusters
CHILI - Computer human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI - Computer-human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI - Computer/human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI / Computer human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI / Computer-human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI / Computer/human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI Computer human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI Computer-human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI Computer/human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI – Computer human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI – Computer-human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CHILI – Computer/human Interaction in Learning and Instruction,CHILI – Computer-human Interaction in Learning and Instruction,education-learning
CIM,Computer Integrated Manufacturing (CIM),general
CIOB,Chartered Institute of Building (CIOB),organizations-institutions
CITB,Construction Industry Training Board (CITB),construction-built_environment; technology-computing
CMU,Carnegie Mellon University (CMU),organizations-institutions
CNC,computer numerical control (CNC),general
COVID 19,COVID-19,general
COVID-19,COVID-19,general
COVID/19,COVID-19,general
CPS,Cyber-physical system (CPS),general
CUNY,City University of New York (CUNY),geography-regions; organizations-institutions
CalPoly,"California Polytechnic State University, San Luis Obispo (CalPoly)",organizations-institutions
"California Polytechnic State University, San Luis Obispo","California Polytechnic State University, San Luis Obispo (CalPoly)",organizations-institutions
"California Polytechnic State University, San Luis Obispo (CalPoly)","California Polytechnic State University, San Luis Obispo (CalPoly)",organizations-institutions
Cardiff University,Cardiff University,organizations-institutions
Carnegie Mellon University,Carnegie Mellon University (CMU),organizations-institutions
Carnegie Mellon University (CMU),Carnegie Mellon University (CMU),organizations-institutions
Chartered Institute of Building,Chartered Institute of Building (CIOB),organizations-institutions
Chartered Institute of Building (CIOB),Chartered Institute of Building (CIOB),organizations-institutions
Children’s Technology Review,Children’s Technology Review,technology-computing
City University of New York,City University of New York (CUNY),geography-regions; organizations-institutions
City University of New York (CUNY),City University of New York (CUNY),geography-regions; organizations-institutions
CityLab,CityLab,geography-regions
Cognitive Load Theory,Cognitive Load Theory (CLT),education-learning
Cognitive Load Theory (CLT),Cognitive Load Theory (CLT),education-learning
Cognitive Science,Cognitive Science,education-learning
College of Design Construction and Planning,College of Design Construction and Planning,construction-built_environment; organizations-institutions
Computer Aided Manufacturing,Computer-Aided Manufacturing (CAM),technology-computing
Computer Aided Manufacturing (CAM),Computer-Aided Manufacturing (CAM),technology-computing
Computer Integrated Manufacturing,Computer Integrated Manufacturing (CIM),general
Computer Integrated Manufacturing (CIM),Computer Integrated Manufacturing (CIM),general
Computer aided design,Computer-aided design (CAD),technology-computing
Computer aided design (CAD),Computer-aided design (CAD),technology-computing
Computer-Aided Manufacturing,Computer-Aided Manufacturing (CAM),technology-computing
Computer-Aided Manufacturing (CAM),Computer-Aided Manufacturing (CAM),technology-computing
Computer-aided design,Computer-aided design (CAD),technology-computing
Computer-aided design (CAD),Computer-aided design (CAD),technology-computing
Computer/Aided Manufacturing,Computer-Aided Manufacturing (CAM),technology-computing
Computer/Aided Manufacturing (CAM),Computer-Aided Manufacturing (CAM),technology-computing
Computer/aided design,Computer-aided design (CAD),technology-computing
Computer/aided design (CAD),Computer-aided design (CAD),technology-computing
Concordia University,Concordia University,organizations-institutions
Confederation of British Industry,Confederation of British Industry (CBI),general
Confederation of British Industry (CBI),Confederation of British Industry (CBI),general
"Conger Industries, Inc.","Conger Industries, Inc.",general
Construction 4.0,Construction 4.0,construction-built_environment
Construction Industry Training Board,Construction Industry Training Board (CITB),construction-built_environment; technology-computing
Construction Industry Training Board (CITB),Construction Industry Training Board (CITB),construction-built_environment; technology-computing
Constructivism,Constructivism,general
Council of the European Union,Council of the European Union (CEU),general
Council of the European Union (CEU),Council of the European Union (CEU),general
Council on Foreign Relations,Council on Foreign Relations (CFR),general
Council on Foreign Relations (CFR),Council on Foreign Relations (CFR),general
Coventry University,Coventry University,organizations-institutions
Cultural Historical Activity Theory,Cultural-Historical Activity Theory (CHAT),general
Cultural Historical Activity Theory (CHAT),Cultural-Historical Activity Theory (CHAT),general
Cultural-Historical Activity Theory,Cultural-Historical Activity Theory (CHAT),general
Cultural-Historical Activity Theory (CHAT),Cultural-Historical Activity Theory (CHAT),general
Cultural/Historical Activity Theory,Cultural-Historical Activity Theory (CHAT),general
Cultural/Historical Activity Theory (CHAT),Cultural-Historical Activity Theory (CHAT),general
Curtin University,Curtin University,organizations-institutions
Cyber physical system,Cyber-physical system (CPS),general
Cyber physical system (CPS),Cyber-physical system (CPS),general
Cyber-physical system,Cyber-physical system (CPS),general
Cyber-physical system (CPS),Cyber-physical system (CPS),general
Cyber/physical system,Cyber-physical system (CPS),general
Cyber/physical system (CPS),Cyber-physical system (CPS),general
D O T,Dictionary of Occupational Titles (D-O-T),general
D O-T,Dictionary of Occupational Titles (D-O-T),general
D O/T,Dictionary of Occupational Titles (D-O-T),general
D-O T,Dictionary of Occupational Titles (D-O-T),general
D-O-T,Dictionary of Occupational Titles (D-O-T),general
D-O/T,Dictionary of Occupational Titles (D-O-T),general
D/O T,Dictionary of Occupational Titles (D-O-T),general
D/O-T,Dictionary of Occupational Titles (D-O-T),general
D/O/T,Dictionary of Occupational Titles (D-O-T),general
De Gruyter,De Gruyter,general
De Montfort University,De Montfort University,organizations-institutions
Delft University of Technology,Delft University of Technology (TU Delft),organizations-institutions; technology-computing
Delft University of Technology (TU Delft),Delft University of Technology (TU Delft),organizations-institutions; technology-computing
Deloitte,Deloitte,general
Delta fws,Delta-fws,general
Delta-fws,Delta-fws,general
Delta/fws,Delta-fws,general
Department of Housing and Urban Development,Department of Housing and Urban Development (HUD),general
Department of Housing and Urban Development (HUD),Department of Housing and Urban Development (HUD),general
Design for Manufacture and Assembly,Design for Manufacture and Assembly (DfMA),construction-built_environment
Design for Manufacture and Assembly (DfMA),Design for Manufacture and Assembly (DfMA),construction-built_environment
DfMA,Design for Manufacture and Assembly (DfMA),construction-built_environment
Dictionary of Occupational Titles,Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D O T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D O-T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D O/T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D-O T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D-O-T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D-O/T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D/O T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D/O-T),Dictionary of Occupational Titles (D-O-T),general
Dictionary of Occupational Titles (D/O/T),Dictionary of Occupational Titles (D-O-T),general
Discourses on Learning in Education,Discourses on Learning in Education,education-learning
Dodge Data & Analytics,Dodge Data & Analytics,general
Dorlonco system,Dorlonco system,general
Dreyfus model,Dreyfus model,general
Duke University,Duke University,geography-regions; organizations-institutions
EOP,Executive Office of the President of the United States (EOP),general
EPFL,École Polytechnique Fédérale de Lausanne (EPFL),geography-regions
EWP,engineered wood products (EWP),general
Edinburgh Napier University,Edinburgh Napier University,organizations-institutions
England,England,geography-regions
Executive Office of the President of the United States,Executive Office of the President of the United States (EOP),general
Executive Office of the President of the United States (EOP),Executive Office of the President of the United States (EOP),general
Expansive Learning Environments,Expansive Learning Environments,education-learning
Expansive Restrictive Continuum,Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive Restrictive Continuum (expansive restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive Restrictive Continuum (expansive-restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive Restrictive Continuum (expansive/restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive-Restrictive Continuum,Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive-Restrictive Continuum (expansive restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive-Restrictive Continuum (expansive-restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive-Restrictive Continuum (expansive/restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive/Restrictive Continuum,Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive/Restrictive Continuum (expansive restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive/Restrictive Continuum (expansive-restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Expansive/Restrictive Continuum (expansive/restrictive continuum),Expansive-Restrictive Continuum (expansive/restrictive continuum),general
Extended Reality XR,Extended Reality XR,technology-computing
"Ezra Klein Show, The","Ezra Klein Show, The",general
FHWA,Federal Highway Administration (FHWA),general
Factory_OS,Factory_OS,general
Farnam Street Media,Farnam Street Media,general
Federal Highway Administration,Federal Highway Administration (FHWA),general
Federal Highway Administration (FHWA),Federal Highway Administration (FHWA),general
Fieldwork,Fieldwork,research-methods
France,France,general
Freakonomics Radio,Freakonomics Radio,general
Friedrich Schiller University Jena,Friedrich Schiller University Jena,organizations-institutions
G code,G-code,general
G-code,G-code,general
G/code,G-code,general
GDP,gross domestic product (GDP),general
GE,General Electric Company (GE),general
GE Appliances,GE Appliances,general
GHG,greenhouse gas (GHG),sustainability-materials
Gazi University,Gazi University,organizations-institutions
General Electric Company,General Electric Company (GE),general
General Electric Company (GE),General Electric Company (GE),general
Georgia Institute of Technology,Georgia Institute of Technology (Georgia Tech),organizations-institutions; technology-computing
Georgia Institute of Technology (Georgia Tech),Georgia Institute of Technology (Georgia Tech),organizations-institutions; technology-computing
Georgia Tech,Georgia Institute of Technology (Georgia Tech),organizations-institutions; technology-computing
GitHub,GitHub,general
Global Infrastructure Hub,Global Infrastructure Hub,general
Glulam,glued laminated timber (Glulam),sustainability-materials
Google,Google,general
Griffith University,Griffith University,organizations-institutions
HBO Documentary Films,HBO Documentary Films,general
HBR,Harvard Business Review (HBR),general
HBS,Harvard Business School (HBS),education-learning
HCT,human capital theory (HCT),general
HRD,human resource development (HRD),general
HUD,Department of Housing and Urban Development (HUD),general
Harlow Consulting,Harlow Consulting,general
Harvard Business Review,Harvard Business Review (HBR),general
Harvard Business Review (HBR),Harvard Business Review (HBR),general
Harvard Business School,Harvard Business School (HBS),education-learning
Harvard Business School (HBS),Harvard Business School (HBS),education-learning
Harvard Graduate School of Education,Harvard Graduate School of Education,education-learning
Harvard University,Harvard University,organizations-institutions
Heriot Watt University,Heriot-Watt University,organizations-institutions
Heriot-Watt University,Heriot-Watt University,organizations-institutions
Heriot/Watt University,Heriot-Watt University,organizations-institutions
Historic Buildings and Monuments Commission for England,Historic Buildings and Monuments Commission for England,geography-regions
Hitotsubashi University,Hitotsubashi University,organizations-institutions
Hofstra University,Hofstra University,organizations-institutions
Holzbau Schweiz Sektion Bern,Holzbau Schweiz Sektion Bern,general
Hong Kong Polytechnic University,Hong Kong Polytechnic University (PolyU),organizations-institutions
Hong Kong Polytechnic University (PolyU),Hong Kong Polytechnic University (PolyU),organizations-institutions
House of Lords,House of Lords (UK Parliament),geography-regions
House of Lords (UK Parliament),House of Lords (UK Parliament),geography-regions
IAARC,International Association for Automation and Robotics in Construction (IAARC),construction-built_environment; organizations-institutions; technology-computing
IBM,International Business Machines Corporation (IBM),general
IC,industrialized construction (IC),construction-built_environment
ICT,information and communication technology (ICT),technology-computing
ITS,intelligent tutoring system (ITS),general
Immersive Interfaces,Immersive Interfaces (AR VR MR),technology-computing
Immersive Interfaces (AR VR MR),Immersive Interfaces (AR VR MR),technology-computing
In vivo codes,In vivo codes,general
Industry 4.0,Industry 4.0,general
Institute of Electrical and Electronics Engineers,Institute of Electrical and Electronics Engineers,organizations-institutions
Interaction Design Association,Interaction Design Association (IxDA),organizations-institutions
Interaction Design Association (IxDA),Interaction Design Association (IxDA),organizations-institutions
International Association for Automation and Robotics in Construction,International Association for Automation and Robotics in Construction (IAARC),construction-built_environment; organizations-institutions; technology-computing
International Association for Automation and Robotics in Construction (IAARC),International Association for Automation and Robotics in Construction (IAARC),construction-built_environment; organizations-institutions; technology-computing
International Business Machines Corporation,International Business Machines Corporation (IBM),general
International Business Machines Corporation (IBM),International Business Machines Corporation (IBM),general
Internet of Things,Internet of Things (IoT),general
Internet of Things (IoT),Internet of Things (IoT),general
IoT,Internet of Things (IoT),general
Ivy League,Ivy League,general
IxDA,Interaction Design Association (IxDA),organizations-institutions
Japan,Japan,general
KHU,Kyung Hee University (KHU),organizations-institutions
Kennesaw State University,Kennesaw State University,organizations-institutions
Kirkland Ranch Academy of Innovation,Kirkland Ranch Academy of Innovation,general
Kirkpatrick model,Kirkpatrick model,general
Kit of Parts,1D (Kit-of-Parts),general
Kit of-Parts,1D (Kit-of-Parts),general
Kit of/Parts,1D (Kit-of-Parts),general
Kit-of Parts,1D (Kit-of-Parts),general
Kit-of-Parts,1D (Kit-of-Parts),general
Kit-of/Parts,1D (Kit-of-Parts),general
Kit/of Parts,1D (Kit-of-Parts),general
Kit/of-Parts,1D (Kit-of-Parts),general
Kit/of/Parts,1D (Kit-of-Parts),general
Knotworking,Knotworking,general
Knowledge Acquisition,Knowledge Acquisition,general
Kyoto University,Kyoto University,organizations-institutions
Kyung Hee University,Kyung Hee University (KHU),organizations-institutions
Kyung Hee University (KHU),Kyung Hee University (KHU),organizations-institutions
Kırıkkale University,Kırıkkale University,organizations-institutions
LIST,Luxembourg Institute of Science and Technology (LIST),organizations-institutions; technology-computing
LSE,London School of Economics and Political Science (LSE),education-learning; geography-regions
LSU,Louisiana State University (LSU),organizations-institutions
LVL,laminated Veneer Lumber (LVL),general
Likert scale,Likert scale,general
Lindbäcks Bygg,Lindbäcks Bygg,general
London,London,geography-regions
London School of Economics and Political Science,London School of Economics and Political Science (LSE),education-learning; geography-regions
London School of Economics and Political Science (LSE),London School of Economics and Political Science (LSE),education-learning; geography-regions
Louisiana State University,Louisiana State University (LSU),organizations-institutions
Louisiana State University (LSU),Louisiana State University (LSU),organizations-institutions
Luddite,Luddite,general
Lund University,Lund University,organizations-institutions
Luxembourg Institute of Science and Technology,Luxembourg Institute of Science and Technology (LIST),organizations-institutions; technology-computing
Luxembourg Institute of Science and Technology (LIST),Luxembourg Institute of Science and Technology (LIST),organizations-institutions; technology-computing
MDF,medium density fibreboard (MDF),general
MGI,McKinsey Global Institute (MGI),organizations-institutions
MIT,Massachusetts Institute of Technology (MIT),organizations-institutions; technology-computing
MIT Sloan School of Management,MIT Sloan School of Management,education-learning
MIT Task Force on the Work of the Future,MIT Task Force on the Work of the Future,general
MOD X,MOD X,general
MOOC,Massive Open Online Courses (MOOC),general
MR,mixed reality (MR),general
MSA,Manchester School of Architecture (MSA),education-learning
MUVE,multi-user virtual environments (MUVE),general
Macquarie University,Macquarie University,organizations-institutions
Make UK,Make UK,geography-regions
Manchester School of Architecture,Manchester School of Architecture (MSA),education-learning
Manchester School of Architecture (MSA),Manchester School of Architecture (MSA),education-learning
Massachusetts Institute of Technology,Massachusetts Institute of Technology (MIT),organizations-institutions; technology-computing
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),organizations-institutions; technology-computing
Massive Open Online Courses,Massive Open Online Courses (MOOC),general
Massive Open Online Courses (MOOC),Massive Open Online Courses (MOOC),general
McGill University,McGill University,organizations-institutions
McKinsey Global Institute (MGI),McKinsey Global Institute (MGI),organizations-institutions
McKinsey and Company,McKinsey and Company,general
Michigan Technological University,Michigan Technological University,organizations-institutions
Microsoft,Microsoft,general
Mid Sweden University,Mid Sweden University,organizations-institutions
Milwaukee Business Journal,Milwaukee Business Journal,geography-regions
"Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government",policy-governance
Monash University,Monash University,organizations-institutions
Multimedia Learning,Multimedia Learning,education-learning
NAHB,National Association of Home Builders (NAHB),organizations-institutions
NFSR,National Fund for Scientific Research (NFSR),general
NHS,National Health Service (NHS),general
NIBS,National Institute of Building Sciences (NIBS),organizations-institutions
NIMBY,Not In My Back Yard (NIMBY),general
NLA University College,NLA University College,organizations-institutions
NS Builders,NS Builders,general
NYC,NYC,general
NYU,New York University (NYU),organizations-institutions
National Association of Home Builders,National Association of Home Builders (NAHB),organizations-institutions
National Association of Home Builders (NAHB),National Association of Home Builders (NAHB),organizations-institutions
National Fund for Scientific Research,National Fund for Scientific Research (NFSR),general
National Fund for Scientific Research (NFSR),National Fund for Scientific Research (NFSR),general
National Geographic,National Geographic,general
National Health Service,National Health Service (NHS),general
National Health Service (NHS),National Health Service (NHS),general
National Institute of Building Sciences (NIBS),National Institute of Building Sciences (NIBS),organizations-institutions
National Public Radio,National Public Radio (NPR),general
National Public Radio (NPR),National Public Radio (NPR),general
Nazarbayev University,Nazarbayev University,organizations-institutions
Neurodiversity,Neurodiversity,general
"New York Times (NYT), The","New York Times (NYT), The",general
New York University,New York University (NYU),organizations-institutions
New York University (NYU),New York University (NYU),organizations-institutions
New York University School of Law,New York University School of Law,education-learning; organizations-institutions
Niilo Mäki institute,Niilo Mäki institute,organizations-institutions
North Carolina State University,North Carolina State University,organizations-institutions
Northwestern University,Northwestern University,organizations-institutions
Not In My Back Yard,Not In My Back Yard (NIMBY),general
Not In My Back Yard (NIMBY),Not In My Back Yard (NIMBY),general
OECD,Organisation for Economic Co-Operation and Development (OECD),general
OFQUAL,Office of Qualifications and Examinations Regulation (OFQUAL),policy-governance
ONS,Office for National Statistics (ONS),general
OSB,oriented strand board (OSB),general
OSM,off-site manufacturing (OSM),construction-built_environment
Office for National Statistics,Office for National Statistics (ONS),general
Office for National Statistics (ONS),Office for National Statistics (ONS),general
Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation (OFQUAL),policy-governance
Office of Qualifications and Examinations Regulation (OFQUAL),Office of Qualifications and Examinations Regulation (OFQUAL),policy-governance
Old Dominion University,Old Dominion University,organizations-institutions
Open University of the Netherlands,Open University of the Netherlands,organizations-institutions
Operation Breakthrough,Operation Breakthrough,general
Organisation for Economic Co Operation and Development,Organisation for Economic Co-Operation and Development (OECD),general
Organisation for Economic Co Operation and Development (OECD),Organisation for Economic Co-Operation and Development (OECD),general
Organisation for Economic Co-Operation and Development,Organisation for Economic Co-Operation and Development (OECD),general
Organisation for Economic Co-Operation and Development (OECD),Organisation for Economic Co-Operation and Development (OECD),general
Organisation for Economic Co/Operation and Development,Organisation for Economic Co-Operation and Development (OECD),general
Organisation for Economic Co/Operation and Development (OECD),Organisation for Economic Co-Operation and Development (OECD),general
Oxford Brookes University,Oxford Brookes University,organizations-institutions
Oxford Martin School,Oxford Martin School,education-learning
Oxford University,Oxford University,organizations-institutions
"O’Reilly Media, Inc","O’Reilly Media, Inc",general
PBS NewsHour,PBS NewsHour,general
PESTEL,PESTEL,general
Pad 26 Limited,Pad 26 Limited,general
Panelized,2D (Panelized),general
Paris,Paris,general
Paris Descartes University,Paris-Descartes University,organizations-institutions
Paris-Descartes University,Paris-Descartes University,organizations-institutions
Paris/Descartes University,Paris-Descartes University,organizations-institutions
Parliament of the United Kingdom,Parliament of the United Kingdom,general
Penn State,Pennsylvania State University (Penn State),organizations-institutions
Pennsylvania State University,Pennsylvania State University (Penn State),organizations-institutions
Pennsylvania State University (Penn State),Pennsylvania State University (Penn State),organizations-institutions
"Planning, BIM & Construction Today","Planning, BIM & Construction Today",construction-built_environment
PolyU,Hong Kong Polytechnic University (PolyU),organizations-institutions
Positivism,Positivism,general
Praxis,Praxis,general
PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP (PwC),general
PricewaterhouseCoopers LLP (PwC),PricewaterhouseCoopers LLP (PwC),general
ProPublica,ProPublica,general
Psychology,Psychology,general
Purdue University,Purdue University,organizations-institutions
PwC,PricewaterhouseCoopers LLP (PwC),general
QCA,Qualitative Content Analysis (QCA),research-methods
QDA,Qualitative Data Analysis (QDA),research-methods
Qualitative Content Analysis,Qualitative Content Analysis (QCA),research-methods
Qualitative Content Analysis (QCA),Qualitative Content Analysis (QCA),research-methods
Qualitative Data,Qualitative Data,general
Qualitative Data Analysis,Qualitative Data Analysis (QDA),research-methods
Qualitative Data Analysis (QDA),Qualitative Data Analysis (QDA),research-methods
Quantitative Data,Quantitative Data,general
Queensland University of Technology,Queensland University of Technology,organizations-institutions; technology-computing
RAND Corporation,RAND Corporation,general
RIBA,Royal Institute of British Architects (RIBA),organizations-institutions
RICS,Royal Institution of Chartered Surveyors (RICS),general
RMIT,Royal Melbourne Institute of Technology (RMIT),organizations-institutions; technology-computing
ROC,residential offsite construction (ROC),construction-built_environment
RWTH Aachen University,RWTH Aachen University,organizations-institutions
Red Herring,Red Herring,general
Redshift,Redshift,general
Research Methods,Research Methods,research-methods
Restrictive Learning Environments,Restrictive Learning Environments,education-learning
Rhode Island College,Rhode Island College,organizations-institutions
Royal Institute of British Architects,Royal Institute of British Architects (RIBA),organizations-institutions
Royal Institute of British Architects (RIBA),Royal Institute of British Architects (RIBA),organizations-institutions
Royal Institution of Chartered Surveyors,Royal Institution of Chartered Surveyors (RICS),general
Royal Institution of Chartered Surveyors (RICS),Royal Institution of Chartered Surveyors (RICS),general
Royal Melbourne Institute of Technology,Royal Melbourne Institute of Technology (RMIT),organizations-institutions; technology-computing
Royal Melbourne Institute of Technology (RMIT),Royal Melbourne Institute of Technology (RMIT),organizations-institutions; technology-computing
Ruhr Universität Bochum,Ruhr-Universität Bochum,general
Ruhr-Universität Bochum,Ruhr-Universität Bochum,general
Ruhr/Universität Bochum,Ruhr-Universität Bochum,general
SBS,Signature Building Systems (SBS),general
SFIVET,Swiss Federal Institute for Vocational Education and Training (SFIVET),education-learning; organizations-institutions; technology-computing
SGAM,skills gap analysis model (SGAM),research-methods
SIPs,Structural insulated panels (SIPs),general
SME,Small and Medium-sized Enterprise (SME),general
SUS,System Usability Scale (SUS),geography-regions
Sapienza University of Rome,Sapienza University of Rome,organizations-institutions
School of Professional Studies,School of Professional Studies (Columbia University),education-learning; organizations-institutions
School of Professional Studies (Columbia University),School of Professional Studies (Columbia University),education-learning; organizations-institutions
Signature Building Systems,Signature Building Systems (SBS),general
Signature Building Systems (SBS),Signature Building Systems (SBS),general
Skills Gap,Skills Gap,general
Small and Medium sized Enterprise,Small and Medium-sized Enterprise (SME),general
